date,time
2/1/2012,8:16 AM
2/1/2012,11:17 AM
2/1/2012,12:06 PM
2/1/2012,12:29 PM
2/1/2012,12:43 PM
2/1/2012,12:44 PM
2/1/2012,12:56 PM
2/1/2012,1:22 PM
2/1/2012,2:12 PM
2/1/2012,2:35 PM
2/1/2012,4:24 PM
2/2/2012,8:23 AM
2/2/2012,9:55 AM
2/2/2012,10:25 AM
2/2/2012,10:40 AM
2/2/2012,10:44 AM
2/2/2012,10:55 AM
2/2/2012,10:59 AM
2/2/2012,11:24 AM
2/2/2012,12:05 PM
2/2/2012,12:08 PM
2/2/2012,12:18 PM
2/2/2012,12:20 PM
2/2/2012,12:35 PM
2/2/2012,12:46 PM
2/2/2012,12:54 PM
2/2/2012,1:03 PM
2/2/2012,1:12 PM
2/2/2012,1:23 PM
2/3/2012,8:34 AM
2/3/2012,10:57 AM
2/3/2012,11:12 AM
2/3/2012,11:29 AM
2/3/2012,12:27 PM
2/3/2012,12:44 PM
2/3/2012,12:53 PM
2/3/2012,1:01 PM
2/3/2012,1:26 PM
2/3/2012,1:27 PM
2/3/2012,1:47 PM
2/3/2012,2:51 PM
2/6/2012,12:18 PM
2/6/2012,1:12 PM
2/6/2012,1:12 PM
2/6/2012,1:20 PM
2/6/2012,2:13 PM
2/6/2012,2:53 PM
2/6/2012,3:15 PM
2/6/2012,3:16 PM
2/6/2012,3:29 PM
2/6/2012,3:32 PM
2/6/2012,3:39 PM
2/7/2012,7:49 AM
2/7/2012,8:56 AM
2/7/2012,10:37 AM
2/7/2012,11:33 AM
2/7/2012,11:51 AM
2/7/2012,11:56 AM
2/7/2012,11:58 AM
2/7/2012,12:30 PM
2/7/2012,12:52 PM
2/7/2012,1:30 PM
2/7/2012,1:58 PM
2/7/2012,2:23 PM
2/7/2012,2:53 PM
2/7/2012,3:12 PM
2/7/2012,3:16 PM
2/7/2012,3:24 PM
2/7/2012,3:31 PM
2/7/2012,3:50 PM
2/7/2012,4:01 PM
2/7/2012,4:04 PM
2/7/2012,4:04 PM
2/7/2012,4:15 PM
2/7/2012,5:02 PM
2/7/2012,5:04 PM
2/7/2012,5:31 PM
2/7/2012,5:41 PM
2/7/2012,5:54 PM
2/7/2012,6:06 PM
