date,time
2/3/2012,1:23 PM
2/3/2012,1:25 PM
2/3/2012,1:32 PM
2/3/2012,1:38 PM
2/3/2012,1:42 PM
2/6/2012,12:52 PM
2/6/2012,1:43 PM
2/6/2012,4:48 PM
2/7/2012,8:53 AM
2/7/2012,11:14 AM
2/7/2012,1:01 PM
2/7/2012,1:36 PM
2/7/2012,1:42 PM
2/7/2012,2:28 PM
2/7/2012,3:28 PM
2/7/2012,4:16 PM
2/7/2012,4:18 PM
2/8/2012,10:28 AM
2/8/2012,11:22 AM
2/8/2012,11:33 AM
2/8/2012,12:11 PM
2/8/2012,12:34 PM
2/8/2012,12:55 PM
2/8/2012,1:50 PM
2/8/2012,1:53 PM
2/8/2012,2:42 PM
2/8/2012,2:43 PM
2/8/2012,5:46 PM
2/8/2012,6:13 PM
2/9/2012,1:35 PM
2/9/2012,2:32 PM
2/9/2012,4:35 PM
2/9/2012,5:34 PM
2/10/2012,10:27 AM
2/10/2012,10:58 AM
2/10/2012,12:05 PM
2/10/2012,1:37 PM
2/10/2012,1:43 PM
2/10/2012,1:57 PM
2/10/2012,2:42 PM
2/10/2012,4:31 PM
2/10/2012,4:32 PM
2/13/2012,8:35 AM
2/13/2012,1:39 PM
2/13/2012,3:17 PM
2/13/2012,3:56 PM
2/13/2012,4:00 PM
2/13/2012,5:04 PM
2/13/2012,6:01 PM
2/14/2012,9:16 AM
2/14/2012,10:18 AM
2/14/2012,11:43 AM
2/14/2012,3:52 PM
2/15/2012,8:35 AM
2/15/2012,12:25 PM
2/15/2012,2:01 PM
2/15/2012,2:08 PM
2/15/2012,2:53 PM
2/15/2012,3:12 PM
2/15/2012,3:30 PM
2/15/2012,3:48 PM
2/15/2012,4:13 PM
2/15/2012,4:15 PM
2/15/2012,4:30 PM
2/15/2012,4:35 PM
2/15/2012,5:10 PM
2/15/2012,5:12 PM
2/15/2012,5:50 PM
2/16/2012,10:08 AM
2/16/2012,11:24 AM
2/16/2012,12:17 PM
2/16/2012,12:19 PM
2/16/2012,12:43 PM
2/16/2012,12:53 PM
2/16/2012,1:00 PM
2/16/2012,1:02 PM
2/16/2012,1:05 PM
2/16/2012,2:40 PM
2/16/2012,3:52 PM
2/16/2012,6:20 PM
2/17/2012,11:55 AM
2/17/2012,12:37 PM
2/17/2012,2:27 PM
2/17/2012,3:22 PM
2/21/2012,9:18 AM
2/21/2012,11:05 AM
2/21/2012,12:33 PM
2/21/2012,12:42 PM
2/21/2012,1:03 PM
2/21/2012,1:11 PM
2/21/2012,1:50 PM
2/21/2012,2:03 PM
2/21/2012,2:20 PM
2/21/2012,2:35 PM
2/21/2012,3:50 PM
2/21/2012,5:33 PM
2/21/2012,5:36 PM
2/22/2012,12:08 PM
2/22/2012,12:43 PM
2/22/2012,12:44 PM
2/22/2012,2:22 PM
2/22/2012,2:32 PM
2/22/2012,2:33 PM
2/22/2012,3:01 PM
2/22/2012,3:18 PM
2/22/2012,3:57 PM
2/22/2012,4:01 PM
2/22/2012,5:06 PM
2/22/2012,5:06 PM
2/23/2012,11:56 AM
2/23/2012,12:30 PM
2/23/2012,4:09 PM
2/23/2012,4:13 PM
2/23/2012,4:44 PM
2/23/2012,5:19 PM
2/24/2012,9:09 AM
2/24/2012,11:59 AM
2/24/2012,12:34 PM
2/24/2012,1:42 PM
2/24/2012,2:41 PM
2/24/2012,3:25 PM
2/24/2012,3:27 PM
2/24/2012,3:56 PM
2/24/2012,3:58 PM
2/27/2012,8:54 AM
2/27/2012,11:08 AM
2/27/2012,12:01 PM
2/27/2012,1:10 PM
2/27/2012,2:08 PM
2/27/2012,2:29 PM
2/27/2012,2:38 PM
2/27/2012,3:00 PM
2/27/2012,3:40 PM
2/27/2012,4:22 PM
2/27/2012,4:27 PM
2/27/2012,4:43 PM
2/27/2012,5:56 PM
2/27/2012,6:26 PM
2/28/2012,8:52 AM
2/28/2012,2:06 PM
2/28/2012,2:46 PM
2/28/2012,3:37 PM
2/28/2012,3:48 PM
2/28/2012,3:50 PM
2/28/2012,4:01 PM
2/28/2012,4:11 PM
2/28/2012,4:16 PM
2/28/2012,4:20 PM
2/28/2012,5:42 PM
2/29/2012,8:56 AM
2/29/2012,11:59 AM
2/29/2012,12:02 PM
2/29/2012,12:02 PM
2/29/2012,12:21 PM
2/29/2012,12:41 PM
2/29/2012,1:07 PM
2/29/2012,1:35 PM
2/29/2012,1:36 PM
2/29/2012,1:48 PM
2/29/2012,2:10 PM
2/29/2012,2:43 PM
2/29/2012,3:15 PM
2/29/2012,3:16 PM
2/29/2012,5:29 PM
2/29/2012,5:44 PM
3/1/2012,11:56 AM
3/1/2012,12:08 PM
3/1/2012,12:32 PM
3/1/2012,12:33 PM
3/1/2012,12:51 PM
3/1/2012,1:07 PM
3/1/2012,2:17 PM
3/1/2012,2:31 PM
3/1/2012,3:06 PM
3/1/2012,3:13 PM
3/1/2012,3:20 PM
3/1/2012,3:54 PM
3/1/2012,5:36 PM
3/1/2012,5:45 PM
3/2/2012,12:07 PM
3/2/2012,12:16 PM
3/2/2012,12:24 PM
3/2/2012,12:27 PM
3/2/2012,12:28 PM
3/2/2012,12:29 PM
3/2/2012,12:31 PM
3/2/2012,12:57 PM
3/2/2012,1:08 PM
3/2/2012,1:22 PM
3/2/2012,1:33 PM
3/2/2012,1:46 PM
3/2/2012,2:20 PM
3/2/2012,2:47 PM
3/2/2012,4:06 PM
3/2/2012,4:21 PM
3/5/2012,12:08 PM
3/5/2012,2:17 PM
3/5/2012,3:33 PM
3/5/2012,4:06 PM
3/5/2012,4:12 PM
3/5/2012,4:25 PM
3/5/2012,5:08 PM
3/5/2012,5:37 PM
3/5/2012,5:58 PM
3/5/2012,6:52 PM
3/6/2012,12:31 PM
3/6/2012,12:58 PM
3/6/2012,1:02 PM
3/6/2012,4:09 PM
3/7/2012,9:27 AM
3/7/2012,1:53 PM
3/7/2012,2:03 PM
3/7/2012,2:06 PM
3/7/2012,2:13 PM
3/7/2012,2:21 PM
3/7/2012,2:29 PM
3/7/2012,2:30 PM
3/7/2012,2:30 PM
3/7/2012,2:45 PM
3/7/2012,3:32 PM
3/7/2012,3:49 PM
3/7/2012,3:53 PM
3/7/2012,3:58 PM
3/7/2012,3:58 PM
3/7/2012,4:09 PM
3/7/2012,4:36 PM
3/7/2012,5:48 PM
3/7/2012,5:56 PM
3/8/2012,9:59 AM
3/8/2012,11:46 AM
3/8/2012,11:55 AM
3/8/2012,12:48 PM
3/8/2012,2:37 PM
3/8/2012,2:46 PM
3/8/2012,3:14 PM
3/8/2012,3:33 PM
3/8/2012,5:10 PM
3/8/2012,6:39 PM
3/9/2012,11:21 AM
3/9/2012,11:31 AM
3/9/2012,12:07 PM
3/9/2012,12:44 PM
3/9/2012,12:45 PM
3/9/2012,12:48 PM
3/9/2012,1:13 PM
3/9/2012,1:15 PM
3/9/2012,1:42 PM
3/9/2012,2:13 PM
3/9/2012,2:27 PM
3/9/2012,2:38 PM
3/9/2012,3:50 PM
3/12/2012,12:04 PM
3/12/2012,12:57 PM
3/12/2012,12:57 PM
3/12/2012,1:18 PM
3/12/2012,2:31 PM
3/12/2012,3:58 PM
3/12/2012,4:20 PM
3/12/2012,5:21 PM
3/12/2012,5:58 PM
3/12/2012,6:28 PM
3/13/2012,10:23 AM
3/13/2012,12:34 PM
3/13/2012,1:04 PM
3/13/2012,1:30 PM
3/13/2012,1:48 PM
3/13/2012,2:45 PM
3/13/2012,3:02 PM
3/13/2012,3:20 PM
3/13/2012,3:39 PM
