date,time
2/6/2012,11:38 AM
2/7/2012,12:25 PM
2/7/2012,12:29 PM
2/7/2012,12:37 PM
2/7/2012,1:48 PM
2/7/2012,1:52 PM
2/7/2012,2:13 PM
2/8/2012,8:23 AM
2/8/2012,12:09 PM
2/9/2012,9:40 AM
2/10/2012,8:33 AM
2/10/2012,8:35 AM
2/10/2012,8:50 AM
2/10/2012,9:12 AM
2/10/2012,10:23 AM
2/10/2012,10:26 AM
2/10/2012,10:27 AM
2/10/2012,11:08 AM
2/10/2012,11:43 AM
2/10/2012,12:32 PM
2/10/2012,12:34 PM
2/10/2012,12:38 PM
2/10/2012,2:06 PM
2/10/2012,2:18 PM
2/10/2012,2:19 PM
2/10/2012,2:50 PM
2/13/2012,11:10 AM
2/13/2012,1:46 PM
2/13/2012,2:09 PM
2/13/2012,2:36 PM
2/13/2012,4:29 PM
2/13/2012,5:26 PM
2/13/2012,6:04 PM
2/14/2012,9:00 AM
2/14/2012,12:34 PM
2/14/2012,1:09 PM
2/15/2012,1:02 PM
2/15/2012,3:52 PM
2/15/2012,5:09 PM
2/16/2012,11:52 AM
2/16/2012,12:11 PM
2/16/2012,12:17 PM
2/16/2012,12:22 PM
2/16/2012,1:07 PM
2/16/2012,2:35 PM
2/17/2012,12:51 PM
2/17/2012,1:10 PM
2/17/2012,1:28 PM
2/17/2012,3:34 PM
2/17/2012,4:06 PM
2/21/2012,8:46 AM
2/21/2012,11:05 AM
2/21/2012,12:19 PM
2/21/2012,5:28 PM
2/22/2012,11:05 AM
2/22/2012,11:33 AM
2/22/2012,12:47 PM
2/22/2012,12:49 PM
2/22/2012,1:07 PM
2/22/2012,3:38 PM
2/22/2012,3:43 PM
2/22/2012,4:28 PM
2/22/2012,5:24 PM
2/22/2012,5:41 PM
2/23/2012,12:02 PM
2/23/2012,4:45 PM
2/23/2012,4:46 PM
2/23/2012,5:32 PM
2/24/2012,8:23 AM
2/24/2012,11:14 AM
2/24/2012,11:15 AM
2/24/2012,1:19 PM
2/24/2012,1:53 PM
2/24/2012,2:35 PM
2/24/2012,3:56 PM
2/24/2012,4:17 PM
2/24/2012,4:27 PM
2/24/2012,4:53 PM
2/27/2012,8:33 AM
2/27/2012,10:30 AM
2/27/2012,11:39 AM
2/27/2012,1:05 PM
2/27/2012,5:57 PM
2/27/2012,6:11 PM
2/27/2012,6:22 PM
2/28/2012,1:09 PM
